from,beta,gamma,alpha
beta,0.5931191539851265,0.022475909762853474,0.051071602918686794
gamma,0.09770020963121041,0.37217487485029216,0.1967915821851641
alpha,0.021865587110676068,0.03243645234606655,0.6123646272099241
