term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,outcome,ref_clase,ref_label,with_controls,spec,n_obs,n_id,vcov_type,sigma_u,contrast_label
clase_f,1 - 2,-0.059474720695302914,0.018099502172752482,-3.285986549665321,0.0010162586251795792,9.942516687883554,-0.09494909309200222,-0.024000348298603598,trust,2,γ (Bridging/Broker),FALSE,T4_M1,3891,1297,model_vcov (fallback),0.905,β vs γ
clase_f,3 - 2,-0.034646068342749844,0.017567960351361284,-1.9721167198595841,0.048596283699749214,4.363010198843697,-0.06907863791324559,-2.134987722541004e-4,trust,2,γ (Bridging/Broker),FALSE,T4_M1,3891,1297,model_vcov (fallback),0.905,α vs γ
clase_f,1 - 2,-0.05610579681229796,0.017773087800371443,-3.1567838657233995,0.0015951953654824655,9.292051161265933,-0.09094040879509419,-0.02127118482950173,trust,2,γ (Bridging/Broker),TRUE,T4_M2,3891,1297,model_vcov (fallback),0.889,β vs γ
clase_f,3 - 2,-0.03269301022777991,0.017205655106318586,-1.9001316733225555,0.05741584208869846,4.122407331803849,-0.066415474566582,0.0010294541110221905,trust,2,γ (Bridging/Broker),TRUE,T4_M2,3891,1297,model_vcov (fallback),0.889,α vs γ
clase_f,1 - 2,-0.037108960105854266,0.03482037783416854,-1.065725371579397,0.28654780500363214,1.803152249837634,-0.1053556465889014,0.031137726377192865,trust_nh,2,γ (Bridging/Broker),FALSE,T4_M3,3891,1297,model_vcov (fallback),1.0058,β vs γ
clase_f,3 - 2,-0.09102294884335825,0.03268150027476249,-2.785152091492218,0.005350262096003659,7.54617471738328,-0.15507751234262862,-0.026968385344087895,trust_nh,2,γ (Bridging/Broker),FALSE,T4_M3,3891,1297,model_vcov (fallback),1.0058,α vs γ
clase_f,1 - 2,-0.02180934343060747,0.035059991412402194,-0.6220578657327506,0.5339038190403775,0.9053482261791728,-0.09052566389719935,0.0469069770359844,trust_nh,2,γ (Bridging/Broker),TRUE,T4_M4,3891,1297,model_vcov (fallback),1.0075,β vs γ
clase_f,3 - 2,-0.08008188374473962,0.03270644767801836,-2.448504482452913,0.014345064505238711,6.1233017343081775,-0.14418534325589927,-0.015978424233579966,trust_nh,2,γ (Bridging/Broker),TRUE,T4_M4,3891,1297,model_vcov (fallback),1.0075,α vs γ
