balanced,n,age_mean,age_sd,pct_woman,pct_edu_sec,pct_employed,pct_trust,pct_trust_nh,mem_mean,mem_sd,group
0,1623,45.2,15.8,55.5,63.8,61.6,10.8,44.9,1.08,1.25,Attrited
1,1304,47.2,14.6,66.3,64.3,57,7.7,48.5,1.25,1.35,Balanced panel
