term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,starting_position,n_transitions,exit_rate
edu_high,1 - 0,0.02908673216207733,0.015753403479328604,1.8463776542157722,0.06483738948922164,3.947030184156326,-0.0017893712913347043,0.05996283561548937,alpha,1437,0.0779401530967293
employed,1 - 0,0.013453769759173518,0.014829229624467,0.9072467080134704,0.36427634882770554,1.4568947658419353,-0.015610986223256225,0.04251852574160326,alpha,1437,0.0779401530967293
edu_high,1 - 0,0.08243340516792586,0.035123687151242644,2.34694623070088,0.01892798606071132,5.723335273439481,0.013592243347238034,0.1512745669886137,beta,884,0.09276018099547512
employed,1 - 0,-0.008148594341353873,0.019917789637366623,-0.4091113767999016,0.6824579276106055,0.5511879858489425,-0.04718674468223755,0.030889555999529805,beta,884,0.09276018099547512
edu_high,1 - 0,-0.2204902253263132,0.0652897254445822,-3.3771044957673304,7.325321537679196e-4,10.414820292965514,-0.34845573575820266,-0.09252471489442377,gamma,273,0.4139194139194139
employed,1 - 0,-0.14926025318936226,0.06706708260747522,-2.2255366923135833,0.026045230762449162,5.262836970256999,-0.28070931964818635,-0.017811186730538192,gamma,273,0.4139194139194139
