K,logLik,npar,AIC,BIC
1,-14442.175259384498,8,28900.350518768995,28943.39755105351
2,-13695.565599405132,19,27429.131198810264,27531.367900485984
3,-13199.66687763952,32,26463.33375527904,26635.521884417092
4,-13006.445976886132,47,26106.891953772265,26359.79326844378
5,-12867.730308304279,64,25863.460616608558,26207.836874884662
