ola,N,domain,pct_member
1,1300,nhg,0.35923076923076924
1,1300,religious,0.34307692307692306
1,1300,union,0.12615384615384614
1,1300,professional,0.12307692307692308
1,1300,charity,0.1123076923076923
1,1300,political,0.07307692307692308
1,1300,sport,0.057692307692307696
1,1300,student,0.04923076923076923
1,1300,otra,0.04230769230769231
2,1300,nhg,0.3976923076923077
2,1300,religious,0.3392307692307692
2,1300,professional,0.1423076923076923
2,1300,union,0.13538461538461538
2,1300,charity,0.10307692307692308
2,1300,political,0.07076923076923076
2,1300,sport,0.05384615384615385
2,1300,student,0.052307692307692305
2,1300,otra,0.04846153846153846
3,1300,nhg,0.37384615384615383
3,1300,religious,0.31153846153846154
3,1300,professional,0.1423076923076923
3,1300,union,0.10461538461538461
3,1300,charity,0.09076923076923077
3,1300,political,0.06615384615384616
3,1300,otra,0.05846153846153846
3,1300,sport,0.03538461538461538
3,1300,student,0.027692307692307693
