from,alpha,beta,gamma
alpha,0.29777300713639115,0.6829179805731622,0.01930901229044671
beta,0.6054158963067013,0.2449929707918504,0.14959113290144824
gamma,0.3666630740016833,0.5599131047341805,0.07342382126413612
