K,logLik,AIC,BIC,npar,delta_BIC,K_label
1,-11757.835253043328,23531.670506086655,23573.012979561187,8,NA,1
2,-11113.77342044232,22319.546840884643,22557.2660633632,46,-1015.7469161979861,2
3,-10589.932920003585,21387.86584000717,21925.31799517608,104,-631.948068187121,\textbf{3}
4,-10401.945463726875,21167.89092745375,22108.432198999344,182,183.1142038232647,4
5,-10208.134660963318,20976.269321926637,22423.255893535243,280,314.82369453589854,5
