hypothesis,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high
b2-b1=0,0.08054977053334203,0.0381061079641669,2.1138283292821995,0.03452993241631989,4.8560086792942725,0.0058631713325800056,0.15523636973410404
b3-b1=0,-0.24041839844152327,0.0645932015564858,-3.7220387385703573,1.9762069464908274e-4,12.304978347078778,-0.367018747138372,-0.11381804974467455
b3-b2=0,-0.3209681689748653,0.07022870018965803,-4.570327631126106,4.869623082056136e-6,17.64775845999245,-0.45861389202765623,-0.18332244592207433
