domain,alpha,beta,gamma
Neighborhood org.\ (JJVV),0.18245475456325347,0.6015142866589321,0.6100271694251159
Religious org.,0.08296497177721641,0.6653467775592726,0.4835522848979111
Political parties,0.01650594752128201,0.02538496203118412,0.2762333967521024
Labor unions,0.08899412353206662,0.02857462409752719,0.3888627387383887
Professional assoc.,0.02923140231134983,0.00954539411554785,0.44997713949650914
Charitable org.,0.0531614836797948,0.1315260691683468,0.537703373714948
Sports clubs,0.11289120182920848,0.04616386487661272,0.3959063032823724
Student org.,0.02068459768184665,0.01505760666258923,0.2359914296947791
