education,employed,edad,woman,ola,pred_exit
1,0,51,1,1,0.7534953018709607
2,0,51,1,1,0.792918882793455
3,0,51,1,1,0.8274810248823153
4,0,51,1,1,0.8573127422983885
5,0,51,1,1,0.8827171373626589
1,1,51,1,1,0.7035271825543781
2,1,51,1,1,0.7482724101375288
3,1,51,1,1,0.7882966028524269
4,1,51,1,1,0.8234584452767099
5,1,51,1,1,0.853862898555222
