year,mean_jacc,p_two_plus,prev_gamma_soft,prev_gamma_hard,prev_gamma_strict,mean_pmax,share_strict
2016,0.14065376620438802,0.3469545104086353,0.11532253223212044,0.09946029298380879,0.09655751469353484,0.8813862087181138,0.9182729375481882
2018,0.14812671803556976,0.35851966075558983,0.12035002229931882,0.1110254433307633,0.10526315789473684,0.8946586804876786,0.9375481881264457
2022,0.09733749108668491,0.31765612952968386,0.10499243480292732,0.09560524286815729,0.0925,0.8800386070246025,0.9252120277563608
