term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,outcome,ref_clase,ref_label,with_controls,spec,n_obs,n_id,vcov_type,sigma_u,contrast_label,table,sig
clase_f,1 - 2,-0.059474720695302914,0.018099502172752482,-3.285986549665321,0.0010162586251795792,9.942516687883554,-0.09494909309200222,-0.024000348298603598,trust,2,γ (Bridging/Broker),FALSE,T4_M1,3891,1297,model_vcov (fallback),0.905,β vs γ,Table4_ref_Bridging,**
clase_f,3 - 2,-0.034646068342749844,0.017567960351361284,-1.9721167198595841,0.048596283699749214,4.363010198843697,-0.06907863791324559,-2.134987722541004e-4,trust,2,γ (Bridging/Broker),FALSE,T4_M1,3891,1297,model_vcov (fallback),0.905,α vs γ,Table4_ref_Bridging,*
clase_f,1 - 2,-0.05610579681229796,0.017773087800371443,-3.1567838657233995,0.0015951953654824655,9.292051161265933,-0.09094040879509419,-0.02127118482950173,trust,2,γ (Bridging/Broker),TRUE,T4_M2,3891,1297,model_vcov (fallback),0.889,β vs γ,Table4_ref_Bridging,**
clase_f,3 - 2,-0.03269301022777991,0.017205655106318586,-1.9001316733225555,0.05741584208869846,4.122407331803849,-0.066415474566582,0.0010294541110221905,trust,2,γ (Bridging/Broker),TRUE,T4_M2,3891,1297,model_vcov (fallback),0.889,α vs γ,Table4_ref_Bridging,.
clase_f,1 - 2,-0.037108960105854266,0.03482037783416854,-1.065725371579397,0.28654780500363214,1.803152249837634,-0.1053556465889014,0.031137726377192865,trust_nh,2,γ (Bridging/Broker),FALSE,T4_M3,3891,1297,model_vcov (fallback),1.0058,β vs γ,Table4_ref_Bridging,
clase_f,3 - 2,-0.09102294884335825,0.03268150027476249,-2.785152091492218,0.005350262096003659,7.54617471738328,-0.15507751234262862,-0.026968385344087895,trust_nh,2,γ (Bridging/Broker),FALSE,T4_M3,3891,1297,model_vcov (fallback),1.0058,α vs γ,Table4_ref_Bridging,**
clase_f,1 - 2,-0.02180934343060747,0.035059991412402194,-0.6220578657327506,0.5339038190403775,0.9053482261791728,-0.09052566389719935,0.0469069770359844,trust_nh,2,γ (Bridging/Broker),TRUE,T4_M4,3891,1297,model_vcov (fallback),1.0075,β vs γ,Table4_ref_Bridging,
clase_f,3 - 2,-0.08008188374473962,0.03270644767801836,-2.448504482452913,0.014345064505238711,6.1233017343081775,-0.14418534325589927,-0.015978424233579966,trust_nh,2,γ (Bridging/Broker),TRUE,T4_M4,3891,1297,model_vcov (fallback),1.0075,α vs γ,Table4_ref_Bridging,*
clase_f,2 - 1,0.05947411152332091,0.018099326046756445,3.2859848687006323,0.0010162646898532399,9.942508078413198,0.024000084327230574,0.09494813871941124,trust,1,β (Closed/Clustering),FALSE,T5_M5,3891,1297,model_vcov (fallback),0.905,γ vs β,Table5_ref_Closed,**
clase_f,3 - 1,0.024828515960198236,0.00810077094459564,3.0649571664240636,0.002177011733074867,8.843435101663616,0.008951296661782272,0.0407057352586142,trust,1,β (Closed/Clustering),FALSE,T5_M5,3891,1297,model_vcov (fallback),0.905,α vs β,Table5_ref_Closed,**
clase_f,2 - 1,0.05610568902021362,0.017772994876295332,3.156794305671262,0.0015951382574460819,9.292102810711185,0.02127125916525987,0.09094011887516737,trust,1,β (Closed/Clustering),TRUE,T5_M6,3891,1297,model_vcov (fallback),0.889,γ vs β,Table5_ref_Closed,**
clase_f,3 - 1,0.023412771059318233,0.008195239042615338,2.8568746973177417,0.0042783469739207545,7.8687307948529535,0.0073503976910956614,0.039475144427540805,trust,1,β (Closed/Clustering),TRUE,T5_M6,3891,1297,model_vcov (fallback),0.889,α vs β,Table5_ref_Closed,**
clase_f,2 - 1,0.037108727987518936,0.03482036690787556,1.065719039827975,0.28655066809981683,1.8031378349513234,-0.031137937080387465,0.10535539305542534,trust_nh,1,β (Closed/Clustering),FALSE,T5_M7,3891,1297,model_vcov (fallback),1.0058,γ vs β,Table5_ref_Closed,
clase_f,3 - 1,-0.053914114340147166,0.02371643243027273,-2.273280962415272,0.02300925402691064,5.441641978447497,-0.10039746774525946,-0.0074307609350348774,trust_nh,1,β (Closed/Clustering),FALSE,T5_M7,3891,1297,model_vcov (fallback),1.0058,α vs β,Table5_ref_Closed,*
clase_f,2 - 1,0.021809236439320506,0.03506030450401341,0.6220492590651621,0.5339094781724363,0.9053329343640618,-0.046907697675553195,0.09052617055419421,trust_nh,1,β (Closed/Clustering),TRUE,T5_M8,3891,1297,model_vcov (fallback),1.0075,γ vs β,Table5_ref_Closed,
clase_f,3 - 1,-0.058272699842827395,0.023862817164883827,-2.441987441808868,0.01460665472015471,6.097230386120776,-0.10504296205566388,-0.011502437629990904,trust_nh,1,β (Closed/Clustering),TRUE,T5_M8,3891,1297,model_vcov (fallback),1.0075,α vs β,Table5_ref_Closed,*
clase_f,2 - 1,0.09844073081981324,0.023407755944090676,4.2054749312552,2.6053446766348684e-5,15.228166226548224,0.05256237221049215,0.14431908942913432,trust,1,β (Closed/Clustering),FALSE,A1_M1,3891,NA,NA,NA,NA,TableA1_pool,***
clase_f,3 - 1,0.03243094168436586,0.009810747786551027,3.3056544098324,9.475487865652966e-4,10.043512154129735,0.013202229361319796,0.051659654007411925,trust,1,β (Closed/Clustering),FALSE,A1_M1,3891,NA,NA,NA,NA,TableA1_pool,***
clase_f,2 - 1,0.09017109701655476,0.023269521478685117,3.8750731122318736,1.0659269087528629e-4,13.195603864524616,0.04456367298085072,0.1357785210522588,trust,1,β (Closed/Clustering),TRUE,A1_M2,3891,NA,NA,NA,NA,TableA1_pool,***
clase_f,3 - 1,0.0289853354064127,0.009854497209023632,2.9413307235879285,0.0032680540710796845,8.2573524310949,0.009670875790975905,0.048299795021849494,trust,1,β (Closed/Clustering),TRUE,A1_M2,3891,NA,NA,NA,NA,TableA1_pool,**
clase_f,2 - 1,0.05974300856614786,0.03362145708301609,1.7769309765080674,0.07557959703649064,3.7258593630927854,-0.00615383642432276,0.12563985355661847,trust_nh,1,β (Closed/Clustering),FALSE,A1_M3,3891,NA,NA,NA,NA,TableA1_pool,.
clase_f,3 - 1,-0.049431644087478466,0.02194794072874297,-2.2522224156885433,0.024308220162426737,5.362411926060222,-0.09244881745063446,-0.006414470724322462,trust_nh,1,β (Closed/Clustering),FALSE,A1_M3,3891,NA,NA,NA,NA,TableA1_pool,*
clase_f,2 - 1,0.04627803160121507,0.03415939721670469,1.3547672199140592,0.17549173357594566,2.5105250199693,-0.020673156677123876,0.113229219879554,trust_nh,1,β (Closed/Clustering),TRUE,A1_M4,3891,NA,NA,NA,NA,TableA1_pool,
clase_f,3 - 1,-0.051594188641624704,0.022265930626891837,-2.317180876298584,0.020493880816167438,5.608662984142241,-0.09523461075260004,-0.007953766530649366,trust_nh,1,β (Closed/Clustering),TRUE,A1_M4,3891,NA,NA,NA,NA,TableA1_pool,*
