focal_x,via,a_ame,a_se
edu_bin,beta,-0.18465085486626243,0.01742186109548874
edu_bin,alpha,0.029219831550439748,0.021437396189799694
woman,beta,0.2090592009929704,0.0188420231749462
woman,alpha,-0.1484273456722723,0.0209927313284044
