position,wave_f,n_transitions,n_stay,p_stay,p_stay_se,p_exit,ci_lo,ci_hi
alpha,2016→2018,720,656,0.9111111111111111,0.010605793380204707,0.0888888888888889,0.8903237560859099,0.9318984661363123
alpha,2018→2022,717,669,0.9330543933054394,0.009333723774374029,0.06694560669456062,0.9147602947076663,0.9513484919032125
beta,2016→2018,448,397,0.8861607142857143,0.015005943966828472,0.1138392857142857,0.8567490641107305,0.9155723644606981
beta,2018→2022,436,405,0.9288990825688074,0.012307748824525304,0.07110091743119262,0.9047758948727378,0.953022270264877
gamma,2016→2018,129,77,0.5968992248062015,0.04318793797224223,0.4031007751937985,0.5122508663806067,0.6815475832317963
gamma,2018→2022,144,83,0.5763888888888888,0.04117752367412087,0.42361111111111116,0.49568094248761196,0.6570968352901657
