outcome,contrast,contrast_label,estimate,std.error,statistic,p.value,conf.low,conf.high
generalized_trust,gamma - beta,γ - β,0.008151230068798851,0.012569303418572758,0.6485029279151908,0.516659717715432,-0.016484604631603755,0.03278706476920146
neighborhood_trust,gamma - beta,γ - β,0.0010122774820723324,0.045075231986527374,0.022457510199279596,0.9820830053927192,-0.08733517721152131,0.08935973217566598
