focal_x,outcome,via,a_ame,a_se,b_ame,b_se,ie,ie_se,z,p_val,ci_lo,ci_hi,stars
edu_bin,trust,beta,-0.18465085486626243,0.01742186109548874,-0.05610579681229796,0.017773087800371443,0.010359983344343638,0.003424289390213384,3.025440365511298,0.002482713585004613,0.0037730746380380408,0.017309185979331065,**
edu_bin,trust,alpha,0.029219831550439748,0.021437396189799694,-0.03269301022777991,0.017205655106318586,-9.552842517325328e-4,8.625246848662632e-4,-1.1075442459721048,0.26805869352848866,-0.0031228154220278486,4.6654063774297663e-4,
edu_bin,trust,TOTAL,NA,NA,NA,NA,0.009404699092611105,0.0035312471819360924,2.663279744539081,0.0077383052758806,0.0028641098255738793,0.01624644515412253,**
edu_bin,trust_nh,beta,-0.18465085486626243,0.01742186109548874,-0.02180934343060747,0.035059991412402194,0.0040271139085335745,0.006484997961608528,0.6209892327452168,0.534606707619576,-0.009127149127282828,0.0171032024163451,
edu_bin,trust_nh,alpha,0.029219831550439748,0.021437396189799694,-0.08008188374473962,0.03270644767801836,-0.0023399791532631906,0.001964825392231603,-1.1909349108143887,0.23367913815137736,-0.007283545031327109,0.001033475194680429,
edu_bin,trust_nh,TOTAL,NA,NA,NA,NA,0.0016871347552703839,0.006776115213308053,0.24898259580311008,0.8033742440976857,-0.01195162907308096,0.01478950531168853,
woman,trust,beta,0.2090592009929704,0.0188420231749462,-0.05610579681229796,0.017773087800371443,-0.011729433052652958,0.003863087776948341,-3.036284374029591,0.002395133520301943,-0.019497610468236122,-0.004584137862141546,**
woman,trust,alpha,-0.1484273456722723,0.0209927313284044,-0.03269301022777991,0.017205655106318586,0.0048525367301458225,0.002644403713328944,1.835021145102364,0.06650255647550211,-2.1975922485164832e-4,0.010258616697805313,†
woman,trust,TOTAL,NA,NA,NA,NA,-0.006876896322507135,0.004681486747976073,-1.468955631558755,0.14184482386359926,-0.016169558151214927,0.002254240641175009,
woman,trust_nh,beta,0.2090592009929704,0.0188420231749462,-0.02180934343060747,0.035059991412402194,-0.004559443911784086,0.0073411241351706265,-0.6210825246695155,0.5345453266764992,-0.01886717281435455,0.009850231113487484,
woman,trust_nh,alpha,-0.1484273456722723,0.0209927313284044,-0.08008188374473962,0.03270644767801836,0.011886341440667194,0.005137382262557024,2.3136961263908393,0.020684396531326036,0.002020050089071177,0.022163503345279452,*
woman,trust_nh,TOTAL,NA,NA,NA,NA,0.007326897528883107,0.00896017857409216,0.8177178019719841,0.413518342995795,-0.010331147073208641,0.02488498160249265,
