year,mean_jacc,p_two_plus,prev_gamma_soft,prev_gamma_hard,prev_gamma_strict,mean_pmax,share_strict,prev_gamma_soft_lo,prev_gamma_soft_hi,prev_gamma_strict_lo,prev_gamma_strict_hi,p_two_plus_lo,p_two_plus_hi,mean_jacc_lo,mean_jacc_hi
2016,0.14065376620438802,0.3469545104086353,0.11532253223212044,0.09946029298380879,0.09655751469353484,0.8813862087181138,0.9182729375481882,0.09910381763805218,0.1307237670534941,0.07772509241330752,0.11335496446900908,0.32228218966846567,0.37239784117193525,0.11497929006958191,0.16475433019076682
2018,0.14812671803556976,0.35851966075558983,0.12035002229931882,0.1110254433307633,0.10526315789473684,0.8946586804876786,0.9375481881264457,0.10652721948786115,0.13640329468676238,0.08967918339420648,0.12274725159909107,0.3342135697764071,0.38396299151888974,0.12603917353005237,0.17308181726220648
2022,0.09733749108668491,0.31765612952968386,0.10499243480292732,0.09560524286815729,0.0925,0.8800386070246025,0.9252120277563608,0.09145314296202409,0.11919986964795502,0.07502061005770816,0.10789432312317054,0.29067077872012337,0.3446414803392444,0.08023530142828594,0.11347297678643731
