term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,spec,outcome,model,n_obs,sig
p_beta,dY/dX,-0.04518143867514165,0.01229590569798949,-3.6745108318884787,2.383055349506588e-4,12.034899919195698,-0.06928097100050187,-0.021081906349781417,S5_trust_soft,trust,Soft assignment,3891,***
p_gamma,dY/dX,0.029978250169178797,0.013897158061405054,2.157149687491421,0.03099400318154063,5.0118670845063775,0.00274032088136442,0.05721617945699317,S5_trust_soft,trust,Soft assignment,3891,*
p_beta,dY/dX,0.07777336722898245,0.029183418905294852,2.6649847806170426,0.007699180708974804,7.021079351839758,0.02057491722885923,0.13497181722910567,S5_nh_soft,trust_nh,Soft assignment,3891,**
p_gamma,dY/dX,0.11902956284256452,0.03840609934862343,3.0992359250570662,0.001940204532119107,9.009575538476396,0.04375499133259539,0.19430413435253366,S5_nh_soft,trust_nh,Soft assignment,3891,**
