K,logLik,AIC,BIC,npar
1,-11757.835253043328,23531.670506086655,23573.012979561187,NA
2,-11113.773420442321,22319.546840884643,22557.2660633632,NA
3,-10589.932920003585,21387.86584000717,21925.31799517608,NA
4,-10401.945463669404,21167.89092733881,22108.432198884402,NA
5,-10208.13466095821,20976.26932191642,22423.255893525027,NA
