outcome,via,contrast,b_ame,b_se
trust,beta,1 - 2,-0.05610579681229796,0.017773087800371443
trust,alpha,3 - 2,-0.03269301022777991,0.017205655106318586
trust_nh,beta,1 - 2,-0.02180934343060747,0.035059991412402194
trust_nh,alpha,3 - 2,-0.08008188374473962,0.03270644767801836
