term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,outcome,ref_clase,ref_label,with_controls,spec,n_obs,n_id,vcov_type,sigma_u,contrast_label
clase_f,2 - 1,0.05947411152332091,0.018099326046756445,3.2859848687006323,0.0010162646898532399,9.942508078413198,0.024000084327230574,0.09494813871941124,trust,1,β (Closed/Clustering),FALSE,T5_M5,3891,1297,model_vcov (fallback),0.905,γ vs β
clase_f,3 - 1,0.024828515960198236,0.00810077094459564,3.0649571664240636,0.002177011733074867,8.843435101663616,0.008951296661782272,0.0407057352586142,trust,1,β (Closed/Clustering),FALSE,T5_M5,3891,1297,model_vcov (fallback),0.905,α vs β
clase_f,2 - 1,0.05610568902021362,0.017772994876295332,3.156794305671262,0.0015951382574460819,9.292102810711185,0.02127125916525987,0.09094011887516737,trust,1,β (Closed/Clustering),TRUE,T5_M6,3891,1297,model_vcov (fallback),0.889,γ vs β
clase_f,3 - 1,0.023412771059318233,0.008195239042615338,2.8568746973177417,0.0042783469739207545,7.8687307948529535,0.0073503976910956614,0.039475144427540805,trust,1,β (Closed/Clustering),TRUE,T5_M6,3891,1297,model_vcov (fallback),0.889,α vs β
clase_f,2 - 1,0.037108727987518936,0.03482036690787556,1.065719039827975,0.28655066809981683,1.8031378349513234,-0.031137937080387465,0.10535539305542534,trust_nh,1,β (Closed/Clustering),FALSE,T5_M7,3891,1297,model_vcov (fallback),1.0058,γ vs β
clase_f,3 - 1,-0.053914114340147166,0.02371643243027273,-2.273280962415272,0.02300925402691064,5.441641978447497,-0.10039746774525946,-0.0074307609350348774,trust_nh,1,β (Closed/Clustering),FALSE,T5_M7,3891,1297,model_vcov (fallback),1.0058,α vs β
clase_f,2 - 1,0.021809236439320506,0.03506030450401341,0.6220492590651621,0.5339094781724363,0.9053329343640618,-0.046907697675553195,0.09052617055419421,trust_nh,1,β (Closed/Clustering),TRUE,T5_M8,3891,1297,model_vcov (fallback),1.0075,γ vs β
clase_f,3 - 1,-0.058272699842827395,0.023862817164883827,-2.441987441808868,0.01460665472015471,6.097230386120776,-0.10504296205566388,-0.011502437629990904,trust_nh,1,β (Closed/Clustering),TRUE,T5_M8,3891,1297,model_vcov (fallback),1.0075,α vs β
