spec,outcome,contrast_label,estimate,std.error,p.value,sig,n_obs,n_id
T4_M1,trust,β vs γ,-0.05945854257111847,0.01810259222804951,0.0010215191487899,**,3891,1297
T4_M1,trust,α vs γ,-0.03463336353412553,0.01756795860094761,0.04867885702985462,*,3891,1297
T4_M2,trust,β vs γ,-0.05085794754639002,0.01767057743882343,0.00400059733086664,**,3891,1297
T4_M2,trust,α vs γ,-0.03143971163966894,0.016784938159204,0.06105586076583444,.,3891,1297
T4_M3,trust_nh,β vs γ,-0.03711118494264329,0.0348198237592915,0.2865112459955272,NA,3891,1297
T4_M3,trust_nh,α vs γ,-0.09102561384965945,0.03268105333965789,0.00534828831887406,**,3891,1297
T4_M4,trust_nh,β vs γ,-0.06865473145227476,0.03330113955579791,0.03924268058946175,*,3891,1297
T4_M4,trust_nh,α vs γ,-0.08952392038721367,0.0303541897745215,0.00318484168793851,**,3891,1297
