K,logLik,AIC,BIC,npar
1,-9097.599697835818,18211.199395671636,18252.541869146167,NA
2,-8633.148053698515,17358.29610739703,17596.015329875587,NA
3,-8248.093335872869,16704.186671745738,17241.63882691465,NA
4,-8078.62319038195,16521.2463807639,17461.787652309493,NA
5,-7913.843232501477,16387.686465002953,17834.67303661156,NA
