idencuesta,ola,social_trust,trust_nb,clase,m0_sexo,m0_edad,age10,swb,employed,couple,t02_01
5801096,1,0,1,1,2,73,2.3059624775122076,0,0,1,4
5801102,1,0,0,3,2,65,1.5059624775122074,1,0,0,2
5801104,1,0,1,3,2,39,-1.0940375224877925,1,1,1,4
5801106,1,0,1,3,2,45,-0.49403752248779254,0,1,0,4
5801111,1,0,0,3,2,68,1.8059624775122074,0,0,1,3
5801131,1,0,1,3,1,72,2.2059624775122075,0,0,1,4
5801143,1,0,1,3,2,56,0.6059624775122074,0,1,1,4
5801154,1,0,1,3,2,41,-0.8940375224877926,0,0,1,4
5801155,1,1,0,3,2,52,0.20596247751220745,0,1,0,5
5804011,1,0,1,3,2,29,-2.0940375224877927,0,1,1,4
5804017,1,0,1,1,2,61,1.1059624775122074,1,0,1,4
5804021,1,0,1,1,2,53,0.30596247751220745,0,1,1,4
5804023,1,1,1,3,2,48,-0.19403752248779255,0,0,1,4
5804025,1,0,1,1,2,45,-0.49403752248779254,0,0,1,4
5804031,1,0,1,3,1,57,0.7059624775122074,0,1,0,4
5804056,1,0,0,3,1,42,-0.7940375224877926,0,1,1,4
5804062,1,0,1,3,2,65,1.5059624775122074,0,0,1,5
5804063,1,0,1,3,2,48,-0.19403752248779255,1,0,1,4
5804065,1,0,1,3,1,59,0.9059624775122075,0,1,0,4
5804077,1,0,1,3,2,47,-0.2940375224877926,0,1,0,5
5804083,1,0,1,3,1,62,1.2059624775122075,0,1,0,4
5804091,1,0,0,1,1,73,2.3059624775122076,0,0,1,5
5804093,1,0,1,3,2,27,-2.2940375224877925,0,0,1,3
5804101,1,0,1,2,2,39,-1.0940375224877925,0,1,0,2
5804102,1,0,1,3,2,36,-1.3940375224877926,0,0,1,4
5804104,1,0,0,3,1,48,-0.19403752248779255,0,0,1,2
5804105,1,0,1,1,2,55,0.5059624775122075,0,0,1,4
5804111,1,0,0,3,2,52,0.20596247751220745,0,0,1,3
5804124,1,0,0,3,2,41,-0.8940375224877926,0,1,1,4
5804125,1,0,1,2,1,55,0.5059624775122075,1,0,1,4
6101013,1,0,1,1,2,74,2.4059624775122073,0,0,0,5
6101014,1,0,0,1,2,68,1.8059624775122074,0,0,0,4
6101017,1,1,1,3,1,38,-1.1940375224877926,0,1,1,2
6101035,1,0,1,3,2,66,1.6059624775122074,1,0,0,4
6101051,1,0,0,3,1,60,1.0059624775122074,0,1,0,2
6101052,1,0,0,3,1,31,-1.8940375224877926,0,1,1,2
6101062,1,0,0,3,1,43,-0.6940375224877926,0,1,0,4
6101064,1,0,0,3,2,65,1.5059624775122074,1,1,0,5
6101081,1,0,1,3,1,48,-0.19403752248779255,0,1,1,4
6101094,1,0,0,3,1,52,0.20596247751220745,1,1,0,4
6101101,1,0,1,3,2,31,-1.8940375224877926,1,1,0,5
6101105,1,0,0,3,1,51,0.10596247751220744,0,1,1,5
6101112,1,0,0,3,2,46,-0.39403752248779256,0,1,0,5
6101115,1,0,0,3,2,46,-0.39403752248779256,0,1,1,4
6101122,1,0,0,1,2,58,0.8059624775122074,0,1,0,2
6101152,1,0,1,1,2,60,1.0059624775122074,0,0,1,5
6101154,1,0,1,1,1,35,-1.4940375224877926,0,0,0,5
6101171,1,0,1,3,1,44,-0.5940375224877925,0,1,1,4
6101194,1,0,0,3,1,54,0.40596247751220743,1,1,1,5
6105011,1,0,1,3,2,18,-3.1940375224877924,0,0,1,4
6105032,1,0,1,2,1,54,0.40596247751220743,1,1,1,5
6105033,1,1,0,1,2,45,-0.49403752248779254,0,0,1,4
6105042,1,0,1,3,2,30,-1.9940375224877926,1,0,1,2
6105044,1,0,0,1,2,49,-0.09403752248779255,0,1,1,4
6105071,1,0,0,3,2,18,-3.1940375224877924,0,0,0,4
6105072,1,0,0,2,2,43,-0.6940375224877926,0,1,0,2
6105074,1,0,0,3,1,27,-2.2940375224877925,0,1,1,4
6105092,1,0,1,3,2,50,0.005962477512207442,0,0,1,4
6105103,1,0,0,1,2,56,0.6059624775122074,0,1,0,1
6108012,1,0,0,3,1,32,-1.7940375224877925,0,1,1,5
6108031,1,0,0,3,2,25,-2.4940375224877926,1,0,0,4
6111011,1,0,0,3,2,54,0.40596247751220743,1,0,1,5
6111013,1,0,1,2,2,45,-0.49403752248779254,0,1,1,5
6310012,1,0,1,3,2,43,-0.6940375224877926,0,1,1,5
6310013,1,0,1,3,2,23,-2.6940375224877924,0,0,1,4
6310021,1,0,1,3,2,60,1.0059624775122074,0,0,1,4
6310032,1,0,0,3,2,54,0.40596247751220743,0,1,1,1
6310035,1,0,1,3,2,46,-0.39403752248779256,0,1,0,4
6310051,1,0,0,3,2,26,-2.3940375224877926,0,1,0,3
6310052,1,1,1,3,2,70,2.0059624775122074,1,0,0,1
6310063,1,0,0,3,2,68,1.8059624775122074,0,0,0,4
6310064,1,0,1,3,2,53,0.30596247751220745,0,1,0,4
6310081,1,0,1,3,2,24,-2.5940375224877927,0,1,0,3
