term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,model
edu_high,1 - 0,-0.2204902253263132,0.0652897254445822,-3.3771044957673304,7.325321537679196e-4,10.414820292965514,-0.34845573575820266,-0.09252471489442377,Unweighted (M3 replicate)
employed,1 - 0,-0.14926025318936226,0.06706708260747524,-2.225536692313583,0.026045230762449193,5.2628369702569975,-0.28070931964818635,-0.017811186730538164,Unweighted (M3 replicate)
edu_high,1 - 0,-0.2275189798185547,0.06572326456367752,-3.4617723469612134,5.366308654583171e-4,10.86378234291035,-0.35633421130976023,-0.09870374832734918,IPW-weighted
employed,1 - 0,-0.14365722536442696,0.06708728370162628,-2.1413480683366006,0.03224597948309652,4.954736897188819,-0.2751458852402354,-0.012168565488618527,IPW-weighted
