term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,spec,outcome,model,n_obs,mean_pmax,contrast_label,sig
clase_f,1 - 2,-0.09527256834161545,0.02422540745590347,-3.932754011053736,8.397816401032567e-5,13.539626227132574,-0.14275349446599434,-0.04779164221723656,S4_trust_ref_gamma,trust,Entropy-weighted (pooled probit),3891,0.885,β vs γ,***
clase_f,3 - 2,-0.06165440479023915,0.024318525016970103,-2.5352855383792847,0.011235570181515756,6.475782849665246,-0.10931783798063685,-0.013990971599841452,S4_trust_ref_gamma,trust,Entropy-weighted (pooled probit),3891,0.885,α vs γ,*
clase_f,1 - 2,-0.04484106337131222,0.03506377352341666,-1.2788430583880537,0.20095232766472987,2.315074806413751,-0.11356479663927796,0.023882669896653524,S4_nh_ref_gamma,trust_nh,Entropy-weighted (pooled probit),3891,0.885,β vs γ,
clase_f,3 - 2,-0.09862412660987213,0.03274846661064454,-3.0115647178978273,0.0025990499312640563,8.587799934462945,-0.1628099417156479,-0.03443831150409636,S4_nh_ref_gamma,trust_nh,Entropy-weighted (pooled probit),3891,0.885,α vs γ,**
