ola,off_sum,diag_sum,off_per_mem,density,prev_gamma_soft,prev_gamma_hard
1,1658,1971,0.8411973617453069,1,0.07589988254841785,0.07289719626168224
2,1773,2007,0.8834080717488789,1,0.07951231233595983,0.07601246105919003
3,1303,1853,0.7031840259039396,1,0.06625495199477771,0.056074766355140186
