outcome,position,estimate,std.error,conf.low,conf.high
generalized_trust,alpha,0.04415132891836696,0.006931706977448401,0.030565183242568097,0.057737474594165825
generalized_trust,beta,0.03876131777126972,0.008445882182183288,0.022207388694190474,0.05531524684834896
generalized_trust,gamma,0.04691254784006857,0.011495052440014612,0.02438224505763993,0.06944285062249721
neighborhood_trust,alpha,0.46487093095874626,0.018379181493832403,0.42884773523083475,0.5008941266866578
neighborhood_trust,beta,0.5339246404353352,0.023982066544347754,0.48691979000841357,0.5809294908622568
neighborhood_trust,gamma,0.5349369179174075,0.03815436119670738,0.46015436997186104,0.6097194658629539
