outcome,contrast,contrast_label,estimate,std.error,statistic,p.value,conf.low,conf.high
generalized_trust,beta - alpha,β - α,-0.005390011147097244,0.008345302705101044,-0.6458736534269289,0.5183611834669055,-0.02174680444909529,0.010966782154900802
generalized_trust,gamma - alpha,γ - α,0.0027612189217016067,0.011119747679851981,0.24831668857960654,0.803889387681088,-0.019033486530808275,0.024555924374211488
generalized_trust,gamma - beta,γ - β,0.008151230068798851,0.012569303418572758,0.6485029279151908,0.516659717715432,-0.016484604631603755,0.03278706476920146
neighborhood_trust,beta - alpha,β - α,0.0690537094765889,0.030464974743624685,2.2666590094921895,0.023411064282095426,0.009342358979084517,0.12876505997409327
neighborhood_trust,gamma - alpha,γ - α,0.07006598695866123,0.040259421977234866,1.7403624671581428,0.081795391641028,-0.008842480116719106,0.14897445403404158
neighborhood_trust,gamma - beta,γ - β,0.0010122774820723324,0.045075231986527374,0.022457510199279596,0.9820830053927192,-0.08733517721152131,0.08935973217566598
