term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted_lo,predicted_hi,predicted,predictor,with_controls,spec,n_obs
trust,1 - 0,0.020259376596660328,0.0291101721332735,0.6959552318656151,0.4864568664049441,1.0396162063917116,-0.03679551236831723,0.0773142655616379,2.944783841421338,2.9650432180179984,2.9650432180179984,trust,FALSE,A2_M1,3891
trust,1 - 0,0.024039220578290887,0.02914731790751747,0.8247489753453734,0.4095141204582412,1.2880148965891847,-0.03308847276638271,0.08116691392296449,2.9171750250749757,2.9412142456532666,2.9412142456532666,trust,TRUE,A2_M2,3891
trust_nh,1 - 0,-0.02804935153528021,0.017089021046080705,-1.6413667851215625,0.10072130034627291,3.3115592809134924,-0.06154321731664538,0.005444514246084962,2.9603806852282593,2.932331333692979,2.9603806852282593,trust_nh,FALSE,A2_M3,3891
trust_nh,1 - 0,-0.02908833575229108,0.017149006837488035,-1.6962111000331201,0.08984590908054627,3.4764033742261757,-0.06269977152439875,0.0045231000198165915,2.934150502654825,2.905062166902534,2.934150502654825,trust_nh,TRUE,A2_M4,3891
