from,alpha,beta,gamma
alpha,0.5357686006427398,0.4044567637805959,0.05977463557666428
beta,0.501420716790103,0.37296898922516863,0.12561029398472842
gamma,0.526796800335512,0.18740090369698123,0.2858022959675067
