from,alpha,beta,gamma
alpha,0.34880123423395254,0.5834317854654398,0.06776698030060767
beta,0.5843226769625082,0.2849957793111656,0.13068154372632632
gamma,0.2911059418579262,0.6834144887253691,0.025479569416704647
