K,logLik,AIC,BIC,delta_BIC
1,-12607.171513947831,25232.343027895662,25278.881024202274,NA
2,-11913.797060317844,23923.594120635687,24171.796767604286,-1107.0842565979874
3,-11384.881068494784,22983.762136989568,23537.047204190407,-634.7495634138795
4,-11191.306751029317,22754.613502058633,23716.398759061958,179.35155487155134
5,-11002.783720805062,22575.567441610125,24049.270657986188,332.87189892422975
