modelo,outcome,controls,N,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,sig
M1_gen_noctrl,trust,no,3903,1 - 2,-0.11340968591891913,0.025577773986546083,-4.4339153977423,9.253695121872258e-6,-0.16354120173725492,-0.06327817010058334,***
M1_gen_noctrl,trust,no,3903,3 - 2,-0.07606369756188136,0.02538254643635624,-2.996692934359528,0.0027292547278823754,-0.12581257441305507,-0.02631482071070764,**
M2_gen_ctrl,trust,yes,3903,1 - 2,-0.11220002152174686,0.02568022696970222,-4.369121100608711,1.247475787401341e-5,-0.16253234149717738,-0.06186770154631636,***
M2_gen_ctrl,trust,yes,3903,3 - 2,-0.07786089642348602,0.02531044214126423,-3.0762361237675697,0.0020963176274903022,-0.12746845145314875,-0.0282533413938233,**
M3_nh_noctrl,trust_nh,no,3903,1 - 2,-0.051853691134968585,0.03532918258316865,-1.467729716443325,0.14217765540912447,-0.12109761660121889,0.017390234331281715,
M3_nh_noctrl,trust_nh,no,3903,3 - 2,-0.10579754079779705,0.033805194134412755,-3.129623819852526,0.0017503028961545878,-0.17205450379163073,-0.039540577803963375,**
M4_nh_ctrl,trust_nh,yes,3903,1 - 2,-0.03833970999257707,0.03552921416687816,-1.0791037992706005,0.2805414577786547,-0.10797569015866851,0.03129627017351438,
M4_nh_ctrl,trust_nh,yes,3903,3 - 2,-0.09705170237313739,0.033840001498103914,-2.86795798098813,0.0041313039693392836,-0.16337688654620253,-0.03072651820007226,**
