from,alpha,beta,gamma
alpha,0.45684554085340334,0.42028456550497745,0.12286989364161935
beta,0.48501089162447325,0.4535836210520199,0.06140548732350675
gamma,0.5418963970542796,0.20457701358866776,0.25352658935705263
