K,logLik,AIC,BIC,delta_BIC
1,-9914.598073270701,19847.196146541402,19893.734142848014,NA
2,-9436.783174730841,18969.566349461682,19217.76899643028,-675.9651464177332
3,-9040.475723173953,18294.951446347906,18848.236513548745,-369.53248288153554
4,-8858.606697821328,18089.213395642655,19050.99865264598,202.76213909723447
5,-8699.519682718403,17969.039365436805,19442.74258181287,391.74392916688885
