modelo,outcome,controls,N,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,sig
M1_gen_noctrl,trust,no,3903,1 - 2,-0.03987373102705917,0.02047028587070195,-1.9478834481802894,0.05142891073357792,-0.07999475408687412,2.472920327557804e-4,.
M1_gen_noctrl,trust,no,3903,3 - 2,-0.0279876614244473,0.01837080754773539,-1.5234856362042397,0.12763725160604258,-0.06399378258492525,0.008018459736030645,
M2_gen_ctrl,trust,yes,3903,1 - 2,-0.035072853247812404,0.020595652136463062,-1.7029251132921661,0.08858208362999027,-0.07543958967339542,0.00529388317777061,.
M2_gen_ctrl,trust,yes,3903,3 - 2,-0.026607419396899545,0.018217532043220748,-1.4605391846587095,0.14414194647062772,-0.06231312608881659,0.009098287295017497,
M3_nh_noctrl,trust_nh,no,3903,1 - 2,-0.02605887634195812,0.034795005713801896,-0.7489257669994152,0.4539019488630485,-0.09425583438287521,0.04213808169895897,
M3_nh_noctrl,trust_nh,no,3903,3 - 2,-0.05080242714917207,0.029631456689721825,-1.7144761960620638,0.08644130515813361,-0.10887901507048528,0.007274160772141144,.
M4_nh_ctrl,trust_nh,yes,3903,1 - 2,-0.014689833560708894,0.03506914699749694,-0.41888197513778647,0.6753023908145377,-0.08342409864434386,0.05404443152292607,
M4_nh_ctrl,trust_nh,yes,3903,3 - 2,-0.04060657487882381,0.02968660871915318,-1.3678414824332998,0.1713616999041831,-0.09879125879149678,0.017578109033849154,
